1,fadrt,1456++560,53257.000000
2,Valina,526987452,75448.000000
3,Dornay,5236974256,31152.000000
4,Saolly,2563974123,22502.000000
5,Dashy,8523355744,1250000.000000
6,Fanshta,02843ikjgo985,21128.000000
7,sally,hfhfjff;flfkfj,1233333.000000
8,Dalia,jjjjjjjjjj,23614477.000000
9,tryra,99999999,124639.000000
10,daliaa,44444477,202578.000000
11,Farawla,1028258976,41200.000000
12,David,028868538,400000.000000
13,Sally,hfjfjff'hjfj,50000.000000
14,Fadyy,12696334,1236955.000000
15,Samya,hjkksksowp,102586685.000000
16,Jowana,iyjyuhjhuyjggmg,137700.000000
17,Farid,19853358,1363424.000000
18,Alisa,126683368,12395.000000
19,Dllsld,012583388,52066.000000
20,catherine,12597439,45923.000000
21,Scoot,1856385312,2580.000000
22,Asdad,12983576,2000.000000
23,Sallu,12365986,1236896.000000
24,Sally,12ojgjggr2r,50000.000000
25,Adela,825963577,19222.000000
26,oiutr,8i87y6y6,80000.000000
27,Francjg,rrrrlrr4r4,2000.000000
28,Asser,jhujyug886,1500.000000
29,David,12357888,1500.000000
30,Salima,82567664,1500.000000
31,Dalia,gjggjjtitt,1500.000000
32,Saleem,012456jgjgjg,1500.000000
